future_score,current_score,food,capsules,ghost0_dist,ghost0_dire,ghost1_dist,ghost1_dire,ghost2_dist,ghost2_dire,ghost3_dist,ghost3_dire,prev_action
572,373,1,0,-1,NULL,-1,NULL,13,East,-1,NULL,East
571,572,1,0,-1,NULL,-1,NULL,13,East,-1,NULL,South
570,571,1,0,-1,NULL,-1,NULL,13,East,-1,NULL,South
569,570,1,0,-1,NULL,-1,NULL,11,East,-1,NULL,South
568,569,1,0,-1,NULL,-1,NULL,9,East,-1,NULL,East
567,568,1,0,-1,NULL,-1,NULL,7,East,-1,NULL,East
566,567,1,0,-1,NULL,-1,NULL,5,East,-1,NULL,East
565,566,1,0,-1,NULL,-1,NULL,3,East,-1,NULL,East
564,565,1,0,-1,NULL,-1,NULL,3,East,-1,NULL,East
563,564,1,0,-1,NULL,-1,NULL,3,East,-1,NULL,East
562,563,1,0,-1,NULL,-1,NULL,1,East,-1,NULL,North
