future_score,score,num_food,num_capsules,pacman_x,pacman_y,ghost0_x,ghost0_y,ghost1_x,ghost1_y,ghost2_x,ghost2_y,ghost3_x,ghost3_y,north,south,east,west,stop,prev_action
0,0,0,4,14,3,10,15,13,15,14,15,17,15,1,1,1,Stop
-1,0,0,4,15,3,10,15,12,15,15,15,17,15,1,1,1,1,East
-2,-1,0,4,15,4,10,15,13,15,14,15,16,15,1,1,1,North
-3,-2,0,4,15,5,11,15,13,16,14,16,16,15,1,1,1,North
-4,-3,0,4,16,5,11,15,14,16,14,16,16,15,1,1,1,East
-5,-4,0,4,17,5,10,15,14,17,13,16,15,15,1,1,1,East
-6,-5,0,4,16,5,10,15,13,17,14,16,15,15,1,1,1,West
-7,-6,0,4,15,5,11,15,12,17,14,16,16,15,1,1,1,West
-8,-7,0,4,16,5,12,15,12,17,14,16,17,15,1,1,1,East
-9,-8,0,4,15,5,12,15,12,18,14,17,17,15,1,1,1,West
-10,-9,0,4,16,5,12,15,12,18,14,16,16,15,1,1,1,East
-11,-10,0,4,15,5,11,15,12,19,14,17,17,15,1,1,1,West
-12,-11,0,4,16,5,12,15,12,18,15,17,17,15,1,1,1,East
-13,-12,0,4,15,5,13,15,12,17,14,17,16,15,1,1,1,West
-14,-13,0,4,15,4,14,15,12,17,15,17,16,15,1,1,1,South
-15,-14,0,4,15,5,14,16,12,17,15,17,17,15,1,1,1,North
-16,-15,0,4,15,4,14,16,13,17,14,17,17,15,1,1,1,South
-17,-16,0,4,15,5,14,16,12,17,15,17,16,15,1,1,1,North
-18,-17,0,4,15,4,13,16,12,17,16,17,15,15,1,1,1,South
-19,-18,0,4,15,5,13,16,11,17,16,17,15,15,1,1,1,North
-20,-19,0,4,15,4,13,17,11,17,17,17,15,15,1,1,1,South
-21,-20,0,4,15,5,14,17,10,17,18,17,15,15,1,1,1,North
-22,-21,0,4,15,4,14,17,9,17,18,17,15,15,1,1,1,South
-23,-22,0,4,15,5,14,16,8,17,17,17,14,15,1,1,1,North
-24,-23,0,4,16,5,14,15,9,17,17,17,15,15,1,1,1,East
-25,-24,0,4,15,5,14,16,8,17,16,17,15,15,1,1,1,West
-26,-25,0,4,15,4,14,17,8,17,17,17,16,15,1,1,1,South
-27,-26,0,4,15,5,13,17,8,16,18,17,15,15,1,1,1,North
-28,-27,0,4,15,4,12,17,8,16,17,17,15,15,1,1,1,South
-29,-28,0,4,15,5,11,17,8,17,18,17,14,15,1,1,1,North
-30,-29,0,4,16,5,10,17,9,17,18,17,14,16,1,1,1,East
-31,-30,0,4,15,5,11,17,10,17,18,17,14,15,1,1,1,West
-32,-31,0,4,16,5,12,17,10,17,18,17,14,16,1,1,1,East
-33,-32,0,4,15,5,11,17,9,17,17,17,14,17,1,1,1,West
-34,-33,0,4,15,4,10,17,9,17,17,17,14,17,1,1,1,South
-35,-34,0,4,15,5,9,17,9,17,18,17,14,17,1,1,1,North
-36,-35,0,4,16,5,10,17,10,17,19,17,13,17,1,1,1,East
-37,-36,0,4,17,5,9,17,9,17,19,16,12,17,1,1,1,East
-38,-37,0,4,16,5,9,17,8,17,19,16,12,18,1,1,1,West
-39,-38,0,4,15,5,8,17,9,17,19,17,12,18,1,1,1,West
-40,-39,0,4,15,4,8,16,8,17,19,16,12,18,1,1,1,South
-41,-40,0,4,15,5,8,15,8,16,19,15,12,19,1,1,1,North
-42,-41,0,4,16,5,8,16,8,16,19,15,12,20,1,1,1,East
-43,-42,0,4,17,5,8,15,8,15,19,16,11,20,1,1,1,East
-44,-43,0,4,18,5,8,16,7,15,19,17,11,20,1,1,1,East
-45,-44,0,4,18,6,8,17,8,15,18,17,12,20,1,1,1,North
-46,-45,0,4,18,7,8,16,8,15,19,17,12,20,1,1,1,North
-47,-46,0,4,18,8,8,17,8,16,19,17,12,20,1,1,1,1,North
-48,-47,0,4,17,8,9,17,8,15,19,17,11,20,1,1,1,West
-49,-48,0,4,16,8,8,17,8,16,19,16,11,20,1,1,1,West
-50,-49,0,4,17,8,8,17,8,15,19,17,12,20,1,1,1,East
-51,-50,0,4,16,8,8,17,8,15,19,17,12,19,1,1,1,West
-52,-51,0,4,17,8,8,16,8,16,19,16,12,19,1,1,1,East
-53,-52,0,4,16,8,8,17,8,15,19,16,12,18,1,1,1,West
-54,-53,0,4,17,8,8,17,8,14,19,16,12,17,1,1,1,East
-55,-54,0,4,18,8,8,16,8,13,19,16,12,17,1,1,1,1,East
-56,-55,0,4,18,7,8,15,9,13,19,16,13,17,1,1,1,South
-57,-56,0,4,18,8,8,14,8,13,19,17,13,16,1,1,1,1,North
-58,-57,0,4,17,8,8,14,8,14,18,17,13,16,1,1,1,West
-59,-58,0,4,16,8,8,14,8,13,19,17,13,15,1,1,1,West
-60,-59,0,4,15,8,8,15,8,14,18,17,13,16,1,1,1,1,West
-61,-60,0,4,15,9,8,14,8,14,19,17,13,15,1,1,1,North
-62,-61,0,4,15,10,8,14,8,15,19,16,13,15,1,1,1,North
-63,-62,0,4,15,11,8,13,8,14,19,16,13,16,1,1,1,North
-64,-63,0,4,15,10,8,13,8,13,19,17,13,15,1,1,1,South
-65,-64,0,4,15,11,8,12,9,13,18,17,13,15,1,1,1,North
-66,-65,0,4,16,11,8,11,10,13,18,17,14,15,1,1,1,East
-67,-66,0,4,17,11,7,11,9,13,19,17,14,16,1,1,1,East
-68,-67,0,4,16,11,8,11,10,13,18,17,14,15,1,1,1,West
-69,-68,0,4,17,11,8,11,10,13,18,17,15,15,1,1,1,East
-70,-69,0,4,18,11,8,12,9,13,18,17,14,15,1,1,1,East
-71,-70,0,4,19,11,8,12,10,13,19,17,14,16,1,1,1,1,East
-72,-71,0,4,19,12,8,12,10,13,19,17,14,16,1,1,1,North
-73,-72,0,4,19,13,8,12,9,13,18,17,14,17,1,1,1,1,North
-74,-73,0,4,19,14,8,11,8,13,19,17,14,16,1,1,1,North
-75,-74,0,4,19,15,7,11,9,13,19,17,14,17,1,1,1,1,North
-76,-75,0,4,19,16,6,11,9,13,19,17,14,17,1,1,1,North
123,-76,0,4,19,17,5,11,10,13,-1,-1,14,16,1,1,1,North
122,123,0,4,18,17,5,11,9,13,-1,-1,13,16,1,1,1,West
121,122,0,4,17,17,5,11,9,13,-1,-1,13,17,1,1,1,West
120,121,0,4,16,17,5,11,9,13,-1,-1,12,17,1,1,1,West
119,120,0,4,15,17,5,11,8,13,-1,-1,12,18,1,1,1,1,West
118,119,0,4,14,17,5,11,9,13,-1,-1,12,18,1,1,1,1,West
117,118,0,4,13,17,4,11,9,13,-1,-1,12,18,1,1,1,1,West
116,117,0,4,12,17,3,11,10,13,-1,-1,12,19,1,1,1,1,West
115,116,0,4,12,18,2,11,10,13,-1,-1,12,19,1,1,1,North
114,115,0,4,12,19,1,11,11,13,-1,-1,12,20,1,1,1,North
313,114,0,4,12,20,1,11,10,13,-1,-1,-1,-1,1,1,1,North
312,313,0,4,12,19,1,11,9,13,-1,-1,-1,-1,1,1,1,South
311,312,0,4,12,18,1,10,9,13,-1,-1,-1,-1,1,1,1,South
310,311,0,4,12,17,1,11,10,13,-1,-1,-1,-1,1,1,1,1,South
309,310,0,4,12,18,2,11,9,13,-1,-1,-1,-1,1,1,1,North
308,309,0,4,12,17,1,11,8,13,-1,-1,-1,-1,1,1,1,1,South
307,308,0,4,13,17,1,11,8,12,-1,-1,-1,-1,1,1,1,1,East
306,307,0,4,13,16,1,10,8,11,-1,-1,-1,-1,1,1,1,1,South
305,306,0,4,13,15,1,10,8,12,-1,-1,-1,-1,1,1,1,1,South
