@RELATION training_keyboard


   @ATTRIBUTE score NUMERIC
   @ATTRIBUTE prev_score NUMERIC
   @ATTRIBUTE prev_action {Stop,West,East,North,South}
   @ATTRIBUTE num_food NUMERIC
   @ATTRIBUTE num_capsules NUMERIC
   @ATTRIBUTE pacman_x NUMERIC
   @ATTRIBUTE pacman_y NUMERIC
   @ATTRIBUTE ghost0_x NUMERIC
   @ATTRIBUTE ghost0_y NUMERIC
   @ATTRIBUTE ghost1_x NUMERIC
   @ATTRIBUTE ghost1_y NUMERIC
   @ATTRIBUTE ghost2_x NUMERIC
   @ATTRIBUTE ghost2_y NUMERIC
   @ATTRIBUTE ghost3_x NUMERIC
   @ATTRIBUTE ghost3_y NUMERIC


   @data
-6,-7,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-7,-8,West,0,4,13,3,10,15,13,15,14,15,17,15
-8,-9,West,0,4,12,3,10,15,13,15,14,15,17,15
-9,-10,West,0,4,11,3,10,15,13,15,14,15,17,15
-10,-11,West,0,4,10,3,10,15,13,15,14,15,17,15
-11,-12,West,0,4,9,3,10,15,13,15,14,15,17,15
-12,-13,West,0,4,8,3,10,15,13,15,14,15,17,15
-13,-14,West,0,4,7,3,10,15,13,15,14,15,17,15
-14,-15,West,0,4,6,3,10,15,13,15,14,15,17,15
-15,-16,West,0,4,5,3,10,15,13,15,14,15,17,15
-16,-17,West,0,4,4,3,10,15,13,15,14,15,17,15
-17,-18,West,0,4,3,3,10,15,13,15,14,15,17,15
-18,-19,West,0,4,2,3,10,15,13,15,14,15,17,15
-19,-20,West,0,4,1,3,10,15,13,15,14,15,17,15
-20,-21,North,0,4,1,4,10,15,13,15,14,15,17,15
-21,-22,North,0,4,1,5,10,15,13,15,14,15,17,15
-22,-23,North,0,4,1,5,10,15,13,15,14,15,17,15
-23,-24,East,0,4,2,5,10,15,13,15,14,15,17,15
-24,-25,East,0,4,3,5,10,15,13,15,14,15,17,15
-25,-26,North,0,4,3,6,10,15,13,15,14,15,17,15
-26,-27,North,0,4,3,7,10,15,13,15,14,15,17,15
-27,-28,North,0,4,3,8,10,15,13,15,14,15,17,15
-28,-29,West,0,4,2,8,10,15,13,15,14,15,17,15
-29,-30,West,0,4,1,8,10,15,13,15,14,15,17,15
-30,-31,West,0,4,1,8,10,15,13,15,14,15,17,15
-31,-32,North,0,4,1,9,10,15,13,15,14,15,17,15
-32,-33,North,0,4,1,10,10,15,13,15,14,15,17,15
-33,-34,North,0,4,1,11,10,15,13,15,14,15,17,15
-34,-35,East,0,4,2,11,10,15,13,15,14,15,17,15
-35,-36,East,0,4,3,11,10,15,13,15,14,15,17,15
-36,-37,East,0,4,4,11,10,15,13,15,14,15,17,15
-37,-38,East,0,4,5,11,10,15,13,15,14,15,17,15
-38,-39,East,0,4,6,11,10,15,13,15,14,15,17,15
-39,-40,North,0,4,6,12,10,15,13,15,14,15,17,15
-40,-41,North,0,4,6,13,10,15,13,15,14,15,17,15
-41,-42,North,0,4,6,14,10,15,13,15,14,15,17,15
0,-1,Stop,0,4,14,3,10,15,13,15,14,15,17,15
-1,-2,Stop,0,4,14,3,10,15,13,16,14,16,17,15
-2,-3,Stop,0,4,14,3,10,15,14,16,14,17,16,15
-3,-4,Stop,0,4,14,3,11,15,14,17,13,17,17,15
-4,-5,Stop,0,4,14,3,10,15,14,16,13,16,17,15
-5,-6,Stop,0,4,14,3,10,15,14,16,13,15,16,15
-6,-7,East,0,4,15,3,11,15,14,16,12,15,15,15
-7,-8,East,0,4,16,3,11,15,13,16,12,15,16,15
