@relation 'training_tutorial1-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
955,954,43,2,6,5,1,5,8,5,11,5,18,5,East
953,952,43,2,6,5,1,5,8,5,11,5,18,5,East
949,948,43,2,6,5,1,5,8,5,11,5,18,5,East
940,939,43,2,6,4,1,5,8,5,11,5,18,5,East
938,937,43,2,6,4,1,5,8,5,11,5,18,5,East
935,934,43,2,6,5,1,5,8,5,11,5,18,5,East
933,932,43,2,6,5,1,5,8,5,11,5,18,5,East
931,930,43,2,6,5,1,5,8,5,11,5,18,5,East
927,926,43,2,6,5,1,5,8,5,11,5,18,5,East
924,923,43,2,6,4,1,5,8,5,11,5,18,5,East
922,921,43,2,6,4,1,5,8,5,11,5,18,5,East
917,916,43,2,6,5,1,5,8,5,11,5,18,5,East
915,914,43,2,6,5,1,5,8,5,11,5,18,5,East
913,912,43,2,6,5,1,5,8,5,11,5,18,5,East
911,910,43,2,6,5,1,5,8,5,11,5,18,5,East
909,908,43,2,6,5,1,5,8,5,11,5,18,5,East
904,903,43,2,6,4,1,5,8,5,11,5,18,5,East
902,901,43,2,6,4,1,5,8,5,11,5,18,5,East
898,897,43,2,6,4,1,5,8,5,11,5,18,5,East
888,887,43,2,6,4,1,5,8,5,11,5,18,5,East
884,883,43,2,6,4,1,5,8,5,11,5,18,5,East
880,879,43,2,6,4,1,5,8,5,11,5,18,5,East
872,871,43,2,6,4,1,5,8,5,11,5,18,5,East
868,867,43,2,6,4,1,5,8,5,11,5,18,5,East
864,863,43,2,6,4,1,5,8,5,11,5,18,5,East
-1,-2,0,0,2,6,6,4,8,6,11,3,16,6,East
-2,-3,0,0,3,6,6,4,8,6,11,3,16,6,East
-3,-4,0,0,4,6,6,4,8,6,11,3,16,6,East
-4,-5,0,0,5,6,6,4,8,6,11,3,16,6,East
-5,-6,0,0,6,6,6,4,8,6,11,3,16,6,East
-7,-8,0,0,6,6,6,4,8,6,11,3,16,6,East
-11,-12,0,0,4,6,6,4,8,6,11,3,16,6,East
-13,-14,0,0,4,6,6,4,8,6,11,3,16,6,East
-14,-15,0,0,5,6,6,4,8,6,11,3,16,6,East
-15,-16,0,0,6,6,6,4,8,6,11,3,16,6,East
-18,-19,0,0,5,6,6,4,8,6,11,3,16,6,East
-21,-22,0,0,4,6,6,4,8,6,11,3,16,6,East
-23,-24,0,0,4,6,6,4,8,6,11,3,16,6,East
-24,-25,0,0,5,6,6,4,8,6,11,3,16,6,East
-27,-28,0,0,4,6,6,4,8,6,11,3,16,6,East
-29,-30,0,0,4,6,6,4,8,6,11,3,16,6,East
-31,-32,0,0,4,6,6,4,8,6,11,3,16,6,East
-32,-33,0,0,5,6,6,4,8,6,11,3,16,6,East
-34,-35,0,0,5,6,6,4,8,6,11,3,16,6,East
-37,-38,0,0,4,6,6,4,8,6,11,3,16,6,East
-39,-40,0,0,4,6,6,4,8,6,11,3,16,6,East
-40,-41,0,0,5,6,6,4,8,6,11,3,16,6,East
-43,-44,0,0,4,6,6,4,8,6,11,3,16,6,East
-45,-46,0,0,4,6,6,4,8,6,11,3,16,6,East
-46,-47,0,0,5,6,6,4,8,6,11,3,16,6,East
-47,-48,0,0,6,6,6,4,8,6,11,3,16,6,East
-48,-49,0,0,7,6,6,4,8,6,11,3,16,6,East
151,150,0,0,8,6,6,4,-1,-1,11,3,16,6,East
150,149,0,0,9,6,6,4,-1,-1,11,3,16,6,East
344,343,0,0,7,4,-1,-1,-1,-1,11,3,16,6,East
343,342,0,0,8,4,-1,-1,-1,-1,11,3,16,6,East
342,341,0,0,9,4,-1,-1,-1,-1,11,3,16,6,East
341,340,0,0,10,4,-1,-1,-1,-1,11,3,16,6,East
539,538,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6,East
538,537,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6,East
537,536,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6,East
535,534,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6,East
532,531,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6,East
-1,-2,0,0,2,6,6,4,8,6,11,3,16,6,East
-2,-3,0,0,3,6,6,4,8,6,11,3,16,6,East
-3,-4,0,0,4,6,6,4,8,6,11,3,16,6,East
-5,-6,0,0,4,6,6,4,8,6,11,3,16,6,East
-7,-8,0,0,4,6,6,4,8,6,11,3,16,6,East
-8,-9,0,0,5,6,6,4,8,6,11,3,16,6,East
-9,-10,0,0,6,6,6,4,8,6,11,3,16,6,East
-10,-11,0,0,7,6,6,4,8,6,11,3,16,6,East
189,188,0,0,8,6,6,4,-1,-1,11,3,16,6,East
188,187,0,0,9,6,6,4,-1,-1,11,3,16,6,East
382,381,0,0,7,4,-1,-1,-1,-1,11,3,16,6,East
381,380,0,0,8,4,-1,-1,-1,-1,11,3,16,6,East
380,379,0,0,9,4,-1,-1,-1,-1,11,3,16,6,East
379,378,0,0,10,4,-1,-1,-1,-1,11,3,16,6,East
577,576,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6,East
576,575,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6,East
575,574,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6,East
573,572,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6,East
570,569,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6,East
-7,-8,0,0,2,12,5,9,11,3,17,6,25,13,East
-9,-10,0,0,2,12,5,9,11,3,17,6,25,13,East
-10,-11,0,0,3,12,5,9,11,3,17,6,25,13,East
-12,-13,0,0,3,12,5,9,11,3,17,6,25,13,East
-13,-14,0,0,4,12,5,9,11,3,17,6,25,13,East
-15,-16,0,0,4,12,5,9,11,3,17,6,25,13,East
-16,-17,0,0,5,12,5,9,11,3,17,6,25,13,East
-17,-18,0,0,6,12,5,9,11,3,17,6,25,13,East
-20,-21,0,0,5,12,5,9,11,3,17,6,25,13,East
-21,-22,0,0,6,12,5,9,11,3,17,6,25,13,East
-25,-26,0,0,4,12,5,9,11,3,17,6,25,13,East
-26,-27,0,0,5,12,5,9,11,3,17,6,25,13,East
-31,-32,0,0,2,12,5,9,11,3,17,6,25,13,East
-32,-33,0,0,3,12,5,9,11,3,17,6,25,13,East
-33,-34,0,0,4,12,5,9,11,3,17,6,25,13,East
-37,-38,0,0,2,12,5,9,11,3,17,6,25,13,East
-38,-39,0,0,3,12,5,9,11,3,17,6,25,13,East
-39,-40,0,0,4,12,5,9,11,3,17,6,25,13,East
-42,-43,0,0,3,12,5,9,11,3,17,6,25,13,East
-44,-45,0,0,3,12,5,9,11,3,17,6,25,13,East
-45,-46,0,0,4,12,5,9,11,3,17,6,25,13,East
-47,-48,0,0,4,12,5,9,11,3,17,6,25,13,East
-48,-49,0,0,5,12,5,9,11,3,17,6,25,13,East
-49,-50,0,0,6,12,5,9,11,3,17,6,25,13,East
-50,-51,0,0,7,12,5,9,11,3,17,6,25,13,East
-52,-53,0,0,7,12,5,9,11,3,17,6,25,13,East
-53,-54,0,0,8,12,5,9,11,3,17,6,25,13,East
-57,-58,0,0,9,11,5,9,11,3,17,6,25,13,East
-64,-65,0,0,9,8,5,9,11,3,17,6,25,13,East
-67,-68,0,0,9,9,5,9,11,3,17,6,25,13,East
-72,-73,0,0,9,8,5,9,11,3,17,6,25,13,East
-76,-77,0,0,9,10,5,9,11,3,17,6,25,13,East
-80,-81,0,0,9,10,5,9,11,3,17,6,25,13,East
-82,-83,0,0,9,10,5,9,11,3,17,6,25,13,East
-89,-90,0,0,9,9,5,9,11,3,17,6,25,13,East
-92,-93,0,0,9,10,5,9,11,3,17,6,25,13,East
-99,-100,0,0,9,11,5,9,11,3,17,6,25,13,East
-101,-102,0,0,9,11,5,9,11,3,17,6,25,13,East
-103,-104,0,0,9,11,5,9,11,3,17,6,25,13,East
-109,-110,0,0,9,9,5,9,11,3,17,6,25,13,East
-114,-115,0,0,9,8,5,9,11,3,17,6,25,13,East
-118,-119,0,0,9,8,5,9,11,3,17,6,25,13,East
-125,-126,0,0,9,9,5,9,11,3,17,6,25,13,East
-130,-131,0,0,9,8,5,9,11,3,17,6,25,13,East
-132,-133,0,0,9,8,5,9,11,3,17,6,25,13,East
-134,-135,0,0,9,8,5,9,11,3,17,6,25,13,East
-138,-139,0,0,9,10,5,9,11,3,17,6,25,13,East
-140,-141,0,0,9,10,5,9,11,3,17,6,25,13,East
-143,-144,0,0,9,11,5,9,11,3,17,6,25,13,East
-145,-146,0,0,9,11,5,9,11,3,17,6,25,13,East
-147,-148,0,0,9,11,5,9,11,3,17,6,25,13,East
-154,-155,0,0,9,10,5,9,11,3,17,6,25,13,East
-156,-157,0,0,9,10,5,9,11,3,17,6,25,13,East
-159,-160,0,0,9,11,5,9,11,3,17,6,25,13,East
-162,-163,0,0,9,10,5,9,11,3,17,6,25,13,East
-169,-170,0,0,9,7,5,9,11,3,17,6,25,13,East
-172,-173,0,0,9,8,5,9,11,3,17,6,25,13,East
-1,-2,0,0,2,6,6,4,8,6,11,3,16,6,East
-2,-3,0,0,3,6,6,4,8,6,11,3,16,6,East
-3,-4,0,0,4,6,6,4,8,6,11,3,16,6,East
-5,-6,0,0,4,6,6,4,8,6,11,3,16,6,East
-6,-7,0,0,5,6,6,4,8,6,11,3,16,6,East
-7,-8,0,0,6,6,6,4,8,6,11,3,16,6,East
-9,-10,0,0,6,6,6,4,8,6,11,3,16,6,East
-10,-11,0,0,7,6,6,4,8,6,11,3,16,6,East
189,188,0,0,8,6,6,4,-1,-1,11,3,16,6,East
188,187,0,0,9,6,6,4,-1,-1,11,3,16,6,East
186,185,0,0,9,6,6,4,-1,-1,11,3,16,6,East
380,379,0,0,7,4,-1,-1,-1,-1,11,3,16,6,East
379,378,0,0,8,4,-1,-1,-1,-1,11,3,16,6,East
378,377,0,0,9,4,-1,-1,-1,-1,11,3,16,6,East
377,376,0,0,10,4,-1,-1,-1,-1,11,3,16,6,East
575,574,0,0,11,3,-1,-1,-1,-1,-1,-1,16,6,East
574,573,0,0,12,3,-1,-1,-1,-1,-1,-1,16,6,East
573,572,0,0,13,3,-1,-1,-1,-1,-1,-1,16,6,East
571,570,0,0,14,4,-1,-1,-1,-1,-1,-1,16,6,East
568,567,0,0,15,6,-1,-1,-1,-1,-1,-1,16,6,East
576,575,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6,North
574,573,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6,North
572,571,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6,North
570,569,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6,North
569,568,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6,North
1480,1479,110,2,10,4,-1,-1,-1,-1,19,12,22,9,North
1478,1477,110,2,11,5,-1,-1,-1,-1,19,12,22,9,North
1576,1575,109,2,12,6,-1,-1,-1,-1,19,12,22,9,North
1574,1573,109,2,13,7,-1,-1,-1,-1,19,12,22,9,North
1572,1571,109,2,14,8,-1,-1,-1,-1,19,12,22,9,North
1670,1669,108,2,15,9,-1,-1,-1,-1,19,12,22,9,North
1768,1767,107,2,16,10,-1,-1,-1,-1,19,12,22,9,North
1966,1965,105,2,17,11,-1,-1,-1,-1,19,12,22,9,North
2064,2063,104,2,18,12,-1,-1,-1,-1,19,12,22,9,North
480,479,48,2,6,2,1,5,8,5,11,5,18,5,North
579,578,47,2,6,3,1,5,8,5,11,5,18,5,North
678,677,46,2,6,4,1,5,8,5,11,5,18,5,North
777,776,45,2,6,5,1,5,8,5,11,5,18,5,North
872,871,44,2,6,4,1,5,8,5,11,5,18,5,North
871,870,44,2,6,5,1,5,8,5,11,5,18,5,North
869,868,44,2,6,5,1,5,8,5,11,5,18,5,North
951,950,43,2,6,5,1,5,8,5,11,5,18,5,North
946,945,43,2,6,4,1,5,8,5,11,5,18,5,North
945,944,43,2,6,5,1,5,8,5,11,5,18,5,North
942,941,43,2,6,4,1,5,8,5,11,5,18,5,North
937,936,43,2,6,5,1,5,8,5,11,5,18,5,North
929,928,43,2,6,5,1,5,8,5,11,5,18,5,North
920,919,43,2,6,4,1,5,8,5,11,5,18,5,North
919,918,43,2,6,5,1,5,8,5,11,5,18,5,North
907,906,43,2,6,5,1,5,8,5,11,5,18,5,North
900,899,43,2,6,4,1,5,8,5,11,5,18,5,North
896,895,43,2,6,4,1,5,8,5,11,5,18,5,North
894,893,43,2,6,4,1,5,8,5,11,5,18,5,North
892,891,43,2,6,4,1,5,8,5,11,5,18,5,North
890,889,43,2,6,4,1,5,8,5,11,5,18,5,North
887,886,43,2,6,5,1,5,8,5,11,5,18,5,North
883,882,43,2,6,5,1,5,8,5,11,5,18,5,North
879,878,43,2,6,5,1,5,8,5,11,5,18,5,North
876,875,43,2,6,4,1,5,8,5,11,5,18,5,North
875,874,43,2,6,5,1,5,8,5,11,5,18,5,North
870,869,43,2,6,4,1,5,8,5,11,5,18,5,North
867,866,43,2,6,5,1,5,8,5,11,5,18,5,North
862,861,43,2,6,4,1,5,8,5,11,5,18,5,North
861,860,43,2,6,5,1,5,8,5,11,5,18,5,North
536,535,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6,North
534,533,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6,North
533,532,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6,North
574,573,0,0,13,4,-1,-1,-1,-1,-1,-1,16,6,North
572,571,0,0,14,5,-1,-1,-1,-1,-1,-1,16,6,North
571,570,0,0,14,6,-1,-1,-1,-1,-1,-1,16,6,North
-55,-56,0,0,8,12,5,9,11,3,17,6,25,13,North
-62,-63,0,0,8,9,5,9,11,3,17,6,25,13,North
-66,-67,0,0,8,9,5,9,11,3,17,6,25,13,North
-71,-72,0,0,8,8,5,9,11,3,17,6,25,13,North
-74,-75,0,0,8,9,5,9,11,3,17,6,25,13,North
-75,-76,0,0,8,10,5,9,11,3,17,6,25,13,North
-79,-80,0,0,8,10,5,9,11,3,17,6,25,13,North
-86,-87,0,0,8,9,5,9,11,3,17,6,25,13,North
-87,-88,0,0,8,10,5,9,11,3,17,6,25,13,North
