@relation 'training_keyboard-weka.filters.unsupervised.attribute.Reorder-R1,2,4,5,6,7,8,9,10,11,12,13,14,15,3'

@attribute score numeric
@attribute prev_score numeric
@attribute num_food numeric
@attribute num_capsules numeric
@attribute pacman_x numeric
@attribute pacman_y numeric
@attribute ghost0_x numeric
@attribute ghost0_y numeric
@attribute ghost1_x numeric
@attribute ghost1_y numeric
@attribute ghost2_x numeric
@attribute ghost2_y numeric
@attribute ghost3_x numeric
@attribute ghost3_y numeric
@attribute prev_action {Stop,West,East,North,South}

@data
-9,-10,0,4,11,3,10,15,13,15,14,15,17,15,West
-10,-11,0,4,10,3,10,15,13,15,14,15,17,15,West
-11,-12,0,4,9,3,10,15,13,15,14,15,17,15,West
-12,-13,0,4,8,3,10,15,13,15,14,15,17,15,West
-13,-14,0,4,7,3,10,15,13,15,14,15,17,15,West
-14,-15,0,4,6,3,10,15,13,15,14,15,17,15,West
-15,-16,0,4,5,3,10,15,13,15,14,15,17,15,West
-16,-17,0,4,4,3,10,15,13,15,14,15,17,15,West
-17,-18,0,4,3,3,10,15,13,15,14,15,17,15,West
-18,-19,0,4,2,3,10,15,13,15,14,15,17,15,West
-19,-20,0,4,1,3,10,15,13,15,14,15,17,15,West
-20,-21,0,4,1,4,10,15,13,15,14,15,17,15,North
-21,-22,0,4,1,5,10,15,13,15,14,15,17,15,North
-22,-23,0,4,1,5,10,15,13,15,14,15,17,15,North
-23,-24,0,4,2,5,10,15,13,15,14,15,17,15,East
-24,-25,0,4,3,5,10,15,13,15,14,15,17,15,East
-25,-26,0,4,3,6,10,15,13,15,14,15,17,15,North
-26,-27,0,4,3,7,10,15,13,15,14,15,17,15,North
-27,-28,0,4,3,8,10,15,13,15,14,15,17,15,North
-28,-29,0,4,2,8,10,15,13,15,14,15,17,15,West
-29,-30,0,4,1,8,10,15,13,15,14,15,17,15,West
-30,-31,0,4,1,8,10,15,13,15,14,15,17,15,West
-31,-32,0,4,1,9,10,15,13,15,14,15,17,15,North
-32,-33,0,4,1,10,10,15,13,15,14,15,17,15,North
-33,-34,0,4,1,11,10,15,13,15,14,15,17,15,North
-34,-35,0,4,2,11,10,15,13,15,14,15,17,15,East
-35,-36,0,4,3,11,10,15,13,15,14,15,17,15,East
-36,-37,0,4,4,11,10,15,13,15,14,15,17,15,East
-37,-38,0,4,5,11,10,15,13,15,14,15,17,15,East
-38,-39,0,4,6,11,10,15,13,15,14,15,17,15,East
-39,-40,0,4,6,12,10,15,13,15,14,15,17,15,North
-40,-41,0,4,6,13,10,15,13,15,14,15,17,15,North
-41,-42,0,4,6,14,10,15,13,15,14,15,17,15,North
0,-1,0,4,14,3,10,15,13,15,14,15,17,15,Stop
-1,-2,0,4,14,3,10,15,13,16,14,16,17,15,Stop
-2,-3,0,4,14,3,10,15,14,16,14,17,16,15,Stop
-3,-4,0,4,14,3,11,15,14,17,13,17,17,15,Stop
-4,-5,0,4,14,3,10,15,14,16,13,16,17,15,Stop
-5,-6,0,4,14,3,10,15,14,16,13,15,16,15,Stop
-6,-7,0,4,15,3,11,15,14,16,12,15,15,15,East
-7,-8,0,4,16,3,11,15,13,16,12,15,16,15,East
-8,-9,0,4,17,3,10,15,13,17,13,15,15,15,East
-9,-10,0,4,18,3,11,15,13,17,12,15,14,15,East
